# Simulation 2 (Up to date)
# 1279 data points written for 6 variables.
# Simulation warnings:
#   Body calculations may not be entirely accurate at supersonic speeds.
#
# Time (s)	Altitude (m)	Position East of launch (m)	Position North of launch (m)	Latitude (°)	Longitude (°)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0	0	0	0	47	-81
0.01	0	0	0	47	-81
0.02	5.5828e-4	0	0	47	-81
0.03	0.0033611	0	0	47	-81
0.04	0.011094	0	0	47	-81
# Event LIFTOFF occurred at t=0.05 seconds
0.05	0.026873	0	0	47	-81
0.06	0.053312	0	0	47	-81
0.07	0.091715	0	0	47	-81
0.08	0.14229	0	0	47	-81
0.09	0.20494	0	0	47	-81
0.1	0.27958	0	0	47	-81
0.11	0.36613	0	0	47	-81
0.12	0.46454	0	0	47	-81
0.12958	0.56997	0	0	47	-81
0.13823	0.67438	0	0	47	-81
0.14617	0.7781	0	0	47	-81
0.15357	0.88131	0	0	47	-81
0.16051	0.98415	0	0	47	-81
# Event LAUNCHROD occurred at t=0.16709 seconds
0.16709	1.0867	0	0	47	-81
0.17695	1.25	-5.878e-6	0	47	-81
0.19175	1.5162	-3.7585e-5	0	47	-81
0.21394	1.9633	-1.4011e-4	0	47	-81
0.24722	2.7408	-4.2979e-4	0	47	-81
0.29715	4.1456	-0.0012085	-5.6464e-9	47	-81
0.34715	5.8373	-0.002458	-1.5974e-8	47	-81
0.39715	7.812	-0.0042558	-2.8546e-8	47	-81
0.44715	10.068	-0.0066101	-4.0166e-8	47	-81
0.49715	12.605	-0.0094762	-4.9517e-8	47	-81
0.54715	15.424	-0.012754	-6.3711e-8	47	-81
0.59715	18.523	-0.016285	-9.5022e-8	47	-81
0.64715	21.905	-0.019812	-1.5765e-7	47	-81
0.69715	25.567	-0.022995	-2.9987e-7	47	-81
0.74715	29.512	-0.025431	-5.5296e-7	47	-81
0.79715	33.739	-0.026587	-9.9491e-7	47	-81
0.84715	38.247	-0.025794	-1.7492e-6	47	-81
0.89715	43.037	-0.022245	-2.9577e-6	47	-81
0.94715	48.107	-0.015057	-4.7531e-6	47	-81
0.99715	53.457	-0.0032828	-7.2612e-6	47	-81
1.0472	59.085	0.014038	-1.0661e-5	47	-81
1.0972	64.992	0.037953	-1.5107e-5	47	-81
1.1472	71.176	0.069605	-2.0613e-5	47	-81
1.1972	77.637	0.11011	-2.7137e-5	47	-81
1.2472	84.373	0.16051	-3.4491e-5	47	-81
1.2972	91.385	0.22185	-4.2337e-5	47	-81
1.3472	98.671	0.29517	-5.043e-5	47	-81
1.3972	106.23	0.38128	-5.8568e-5	47	-81
1.4472	114.06	0.48073	-6.675e-5	47	-81
1.4972	122.16	0.59375	-7.4875e-5	47	-81
